guess,guess_pool_shrink,solution_pool_shrink
PEALS,0.9492009371905198,0.9415753210585486
AUREI,0.949146958160091,0.9513866277306888
DORSA,0.9491450600695701,0.9402296040938755
ROULE,0.949138300203329,0.9501873871688535
MORAE,0.9491349036202914,0.9484449710545834
IOTAS,0.949103235478442,0.9427501177875532
DRIES,0.9490872848580996,0.9438818112693531
LOURE,0.9490126599307763,0.9500022857782607
LURES,0.9490108950395901,0.9463118268033158
SCRAN,0.9489967093104336,0.9408386473790519
TRAYS,0.948995677015589,0.9436830885062674
CATER,0.9489705689409786,0.9545622734630473
ROTAL,0.9489232165774564,0.9526657305860455
COAST,0.9489223174819463,0.940951163647729
TIROS,0.9489088643491316,0.945155129706254
SALUT,0.94890570086493,0.9385590267249462
TARED,0.9488983416016821,0.9526640512387519
SHOTE,0.9488556512148778,0.934906259767037
SIELD,0.9488271798570637,0.9368673642177741
SPADE,0.9488220516826739,0.9326311173723812
SOPRA,0.9488122948313996,0.9366809566681749
THRAE,0.9488111293372202,0.9515920678829495
SPACE,0.9487985087002476,0.935100131082386
RESOD,0.9487919153331751,0.9414527287061095
TEAMS,0.9487828244785745,0.9404257145389493
MEATS,0.9487759980126659,0.940335962755809
TAPES,0.9487699041430987,0.9424569783877333
IDEAS,0.9487440967719809,0.9401379863692979
CLEAR,0.9487052025662184,0.9524703665175468
SMITE,0.948702238881019,0.9340251622202839
SPILE,0.9486851893661643,0.9353305748499082
NOTES,0.9486593486952125,0.9445947874925946
RULES,0.9486555525141708,0.9456956929406771
PATES,0.9486198217926101,0.9422379168629792
BIRSE,0.948606701658132,0.9402672961109116
SPAED,0.9485891193459378,0.9332183291427398
LITAS,0.9485866218584104,0.9441708455980108
YORES,0.948584224270384,0.9439015902485901
ARLED,0.9485823261798632,0.9506271895656554
LACER,0.9485580839009291,0.9525130965764638
DRATS,0.9485572514050866,0.9424200327472723
CORES,0.948545629763125,0.9464754698673782
ROTIS,0.9485218203820289,0.9448200066240922
STOPE,0.9485046043680057,0.9342069049162893
